,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"1,5,26",dummyguide_1,DNMT1_1,TYMS_3,51.3,64.71,64.42,64.23,63.48,40.69
"1,5,27",dummyguide_1,DNMT1_1,FGF2_1,63.59,62.98,79.67,111.48,97.04,99.5
"1,5,28",dummyguide_1,DNMT1_1,FGF2_2,64.8,80.83,92.93,82.7,76.01,89.77
"1,5,29",dummyguide_1,DNMT1_1,PIK3C3_1,36.87,42.01,11.1,56.93,22.01,33.77
"1,5,30",dummyguide_1,DNMT1_1,PIK3C3_2,49.07,50.93,30.28,40.56,39.85,23.04
"1,5,31",dummyguide_1,DNMT1_1,TGFB1_1,35.57,49.16,48.98,53.89,54.73,42.54
"1,5,32",dummyguide_1,DNMT1_1,TGFB1_2,29.34,34.31,23,34.02,37.88,30.12
"1,6,1",dummyguide_1,DNMT1_2,dummyguide_1,21.83,29.76,41.91,28.94,45.74,68.42
"1,6,2",dummyguide_1,DNMT1_2,dummyguide_2,12.15,15.26,25.07,13.06,17.1,13.15
"1,6,3",dummyguide_1,DNMT1_2,CDK4_3,21.24,16.17,15.71,28.16,32.92,27.15
"1,6,4",dummyguide_1,DNMT1_2,CDK4_2,38.16,68.6,107.66,101.92,71.39,76.81
"1,6,5",dummyguide_1,DNMT1_2,DNMT1_1,47.59,45.44,48.03,54.18,53.85,67.46
"1,6,6",dummyguide_1,DNMT1_2,DNMT1_2,26.08,32.61,42.07,28.12,37.88,17.15
"1,6,7",dummyguide_1,DNMT1_2,EGFR_1,30.36,26.84,37.35,45.34,42.8,56.08
"1,6,8",dummyguide_1,DNMT1_2,EGFR_2,19.68,24.41,39.72,13.42,28.2,10.77
"1,6,9",dummyguide_1,DNMT1_2,ERBB2_1,23.82,23.86,38.02,29.66,19.51,48.69
"1,6,10",dummyguide_1,DNMT1_2,ERBB2_2,17.21,15.68,30.21,26.94,24.12,43.69
"1,6,11",dummyguide_1,DNMT1_2,HDAC1_1,27.45,36.34,64.95,68.49,50.85,59.58
"1,6,12",dummyguide_1,DNMT1_2,HDAC1_2,24.28,22.29,28.85,34.21,16.9,27.15
"1,6,13",dummyguide_1,DNMT1_2,IKBKB_1,41.01,40.1,60.57,72.94,62.1,94.08
"1,6,14",dummyguide_1,DNMT1_2,IKBKB_2,41.14,40.47,37.84,47.11,17.84,20.23
"1,6,15",dummyguide_1,DNMT1_2,MAP2K1_1,29.58,50.28,39.01,60.24,51.39,65.23
"1,6,16",dummyguide_1,DNMT1_2,MAP2K1_2,25.36,17.72,18.35,15.85,10.81,16.35
"1,6,17",dummyguide_1,DNMT1_2,MTOR_1,20.79,22.06,9.21,11.13,7.22,6.65
"1,6,18",dummyguide_1,DNMT1_2,MTOR_2,16.94,18.37,10.76,4.78,8.35,9.35
"1,6,19",dummyguide_1,DNMT1_2,POLA1_1,29.69,12.88,26.55,29.07,22.95,8.73
"1,6,20",dummyguide_1,DNMT1_2,POLA1_2,18.23,6.09,2.45,,1.38,
"1,6,21",dummyguide_1,DNMT1_2,TOP1_1,25.76,13.44,2.87,2.95,3.68,3.38
"1,6,22",dummyguide_1,DNMT1_2,TOP1_2,14.92,25.46,18.99,30.74,28.6,32.65
"1,6,23",dummyguide_1,DNMT1_2,TUBA1A_1,38.67,46.2,38.97,32.22,47.81,46.73
"1,6,24",dummyguide_1,DNMT1_2,TUBA1A_2,34.39,27.17,18.2,14.8,22.26,13
"1,6,25",dummyguide_1,DNMT1_2,TYMS_1,44.72,21.17,31.72,29.83,22.65,24.27
"1,6,26",dummyguide_1,DNMT1_2,TYMS_3,31.84,35.71,33.95,28.29,40.44,53.54
"1,6,27",dummyguide_1,DNMT1_2,FGF2_1,22.61,13.03,9.4,,5.95,14.31
"1,6,28",dummyguide_1,DNMT1_2,FGF2_2,22.96,35.43,26.51,36.6,29.38,23.42
