,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"31,29,17",TGFB1_1,PIK3C3_1,MTOR_1,13.39,8.8,2.68,3.73,10.07,11.31
"31,29,18",TGFB1_1,PIK3C3_1,MTOR_2,24.68,18.2,6.27,6.84,10.96,
"31,29,19",TGFB1_1,PIK3C3_1,POLA1_1,49.13,20.7,20.88,9.13,23.04,14.04
"31,29,20",TGFB1_1,PIK3C3_1,POLA1_2,31.68,14.1,20.77,5.86,3.29,18.08
"31,29,21",TGFB1_1,PIK3C3_1,TOP1_1,53.54,18.02,14.84,13.82,7.03,4.04
"31,29,22",TGFB1_1,PIK3C3_1,TOP1_2,26.75,28.6,10.95,4.09,7.57,1.35
"31,29,23",TGFB1_1,PIK3C3_1,TUBA1A_1,43.8,41.83,36.59,39.94,55.67,48.77
"31,29,24",TGFB1_1,PIK3C3_1,TUBA1A_2,48.54,13.16,25.3,1.54,20.59,17.96
"31,29,25",TGFB1_1,PIK3C3_1,TYMS_1,37,27.36,40.93,20,37.19,23.31
"31,29,26",TGFB1_1,PIK3C3_1,TYMS_3,51.2,55.16,94.25,77.04,71.54,57.58
"31,29,27",TGFB1_1,PIK3C3_1,FGF2_1,39.47,53.1,37.46,39.42,45.64,24.15
"31,29,28",TGFB1_1,PIK3C3_1,FGF2_2,32.8,29.36,35.61,29.6,52.13,29.73
"31,29,29",TGFB1_1,PIK3C3_1,PIK3C3_1,28.85,28.39,32.29,76.97,36.56,42.23
"31,29,30",TGFB1_1,PIK3C3_1,PIK3C3_2,37.83,30.6,38.48,46.1,52.28,35.96
"31,29,31",TGFB1_1,PIK3C3_1,TGFB1_1,50.23,50.65,76.47,130.89,78.71,150.08
"31,29,32",TGFB1_1,PIK3C3_1,TGFB1_2,18.88,28.32,35.83,40.5,29.73,24.08
"31,30,1",TGFB1_1,PIK3C3_2,dummyguide_1,60.21,38.05,40.63,39.06,63.58,55.04
"31,30,2",TGFB1_1,PIK3C3_2,dummyguide_2,41.38,40.01,32.1,17.71,43.88,47.04
"31,30,3",TGFB1_1,PIK3C3_2,CDK4_3,37.83,51.24,49.69,47.24,23.39,33.96
"31,30,4",TGFB1_1,PIK3C3_2,CDK4_2,42.35,30.35,22.01,28.45,28.06,31.77
"31,30,5",TGFB1_1,PIK3C3_2,DNMT1_1,51.36,40.82,51.47,55.98,39.75,46.27
"31,30,6",TGFB1_1,PIK3C3_2,DNMT1_2,37,21.29,9.63,11.95,18.52,11.96
"31,30,7",TGFB1_1,PIK3C3_2,EGFR_1,38.51,45,37.91,44.62,46.43,43.42
"31,30,8",TGFB1_1,PIK3C3_2,EGFR_2,38.75,57.98,45.92,43.18,74.68,32.27
"31,30,9",TGFB1_1,PIK3C3_2,ERBB2_1,59.18,63.86,52.9,52.06,36.7,78.15
"31,30,10",TGFB1_1,PIK3C3_2,ERBB2_2,45.34,53.64,42.93,46.2,52.47,56.85
"31,30,11",TGFB1_1,PIK3C3_2,HDAC1_1,49.05,49.93,64.84,79.62,73.31,73.35
"31,30,12",TGFB1_1,PIK3C3_2,HDAC1_2,38.42,15.92,30.85,38.17,17.93,30.27
"31,30,13",TGFB1_1,PIK3C3_2,IKBKB_1,39.61,38.86,40.63,67.84,54.24,63.96
"31,30,14",TGFB1_1,PIK3C3_2,IKBKB_2,37.19,35.53,25.38,30.64,35.67,56.42
"31,30,15",TGFB1_1,PIK3C3_2,MAP2K1_1,57.09,55.07,44.86,50.94,55.47,67.27
"31,30,16",TGFB1_1,PIK3C3_2,MAP2K1_2,20.81,21.22,12.84,7.69,16.66,18.42
"31,30,17",TGFB1_1,PIK3C3_2,MTOR_1,22.48,29.39,10.61,4.98,13.02,3.69
"31,30,18",TGFB1_1,PIK3C3_2,MTOR_2,46.2,16.43,11.55,0.03,12.23,
"31,30,19",TGFB1_1,PIK3C3_2,POLA1_1,58.83,23.13,14.54,7.73,16.41,23.12
"31,30,20",TGFB1_1,PIK3C3_2,POLA1_2,33.88,4.57,13.22,6.38,2.41,
"31,30,21",TGFB1_1,PIK3C3_2,TOP1_1,44.02,31.89,16.31,25.7,26.63,12.08
"31,30,22",TGFB1_1,PIK3C3_2,TOP1_2,41.01,48.37,38.4,36.28,48.49,10.58
"31,30,23",TGFB1_1,PIK3C3_2,TUBA1A_1,55.31,56.28,67.03,64.89,71.88,102.12
"31,30,24",TGFB1_1,PIK3C3_2,TUBA1A_2,33.18,9.92,7.74,6.22,20.78,5.65
"31,30,25",TGFB1_1,PIK3C3_2,TYMS_1,26.65,21.52,25.64,19.35,13.02,11.62
"31,30,26",TGFB1_1,PIK3C3_2,TYMS_3,51.36,42.79,34.89,25.54,31.4,33.77
"31,30,27",TGFB1_1,PIK3C3_2,FGF2_1,49.13,38.66,22.88,35,29.77,35.65
"31,30,28",TGFB1_1,PIK3C3_2,FGF2_2,48.67,34.22,38.44,39.48,36.75,41.19
"31,30,29",TGFB1_1,PIK3C3_2,PIK3C3_1,48.72,32.23,32.78,10.12,56.75,42.12
"31,30,30",TGFB1_1,PIK3C3_2,PIK3C3_2,44.8,34.99,25.07,5.34,22.16,23.5
"31,30,31",TGFB1_1,PIK3C3_2,TGFB1_1,40.28,37.61,59.85,64.86,73.7,105.54
"31,30,32",TGFB1_1,PIK3C3_2,TGFB1_2,24.31,39.05,35.68,24.95,34.64,21.73
"31,31,1",TGFB1_1,TGFB1_1,dummyguide_1,26.62,26.59,42.03,44.33,55.03,65.35
"31,31,2",TGFB1_1,TGFB1_1,dummyguide_2,25.89,31.05,25.83,37.19,28.69,44.08
"31,31,3",TGFB1_1,TGFB1_1,CDK4_3,21.75,15.38,17.18,16.07,18.97,54.96
"31,31,4",TGFB1_1,TGFB1_1,CDK4_2,38.91,30.06,22.66,77.59,44.37,74.27
"31,31,5",TGFB1_1,TGFB1_1,DNMT1_1,30.04,12.7,26.47,17.55,31.25,12.85
"31,31,6",TGFB1_1,TGFB1_1,DNMT1_2,12.07,21.52,12.8,8.81,19.95,8.5
"31,31,7",TGFB1_1,TGFB1_1,EGFR_1,19.98,21.36,32.59,22.56,17.79,26.04
"31,31,8",TGFB1_1,TGFB1_1,EGFR_2,27.67,31.42,34.02,23.05,32.08,16.58
"31,31,9",TGFB1_1,TGFB1_1,ERBB2_1,25.6,16.55,13.07,33.72,29.28,7.5
"31,31,10",TGFB1_1,TGFB1_1,ERBB2_2,12.83,16.94,11.78,13.19,16.71,35.35
"31,31,11",TGFB1_1,TGFB1_1,HDAC1_1,14.82,19.52,37.53,66.2,32.33,33.42
"31,31,12",TGFB1_1,TGFB1_1,HDAC1_2,25.17,9.53,2.79,,3.19,1.46
"31,31,13",TGFB1_1,TGFB1_1,IKBKB_1,29.5,16.22,11.97,18.76,16.66,15.69
"31,31,14",TGFB1_1,TGFB1_1,IKBKB_2,24.63,34.36,25.87,68.2,32.13,63.54
"31,31,15",TGFB1_1,TGFB1_1,MAP2K1_1,20.09,23.18,17.79,25.08,19.85,25.96
"31,31,16",TGFB1_1,TGFB1_1,MAP2K1_2,17.88,5.77,4.46,6.22,11.79,11.96
"31,31,17",TGFB1_1,TGFB1_1,MTOR_1,6,12.09,,4.94,6.63,5.77
"31,31,18",TGFB1_1,TGFB1_1,MTOR_2,19.17,5.69,4.49,,4.13,
"31,31,19",TGFB1_1,TGFB1_1,POLA1_1,19.28,3.85,4.38,9.1,9.04,17.96
"31,31,20",TGFB1_1,TGFB1_1,POLA1_2,24.63,3.85,4.61,,,0.96
"31,31,21",TGFB1_1,TGFB1_1,TOP1_1,28.45,12.33,,0.03,,
"31,31,22",TGFB1_1,TGFB1_1,TOP1_2,19.87,24.86,22.35,15.19,13.81,19.19
"31,31,23",TGFB1_1,TGFB1_1,TUBA1A_1,29.5,35.13,35.16,52.55,30.12,41.23
"31,31,24",TGFB1_1,TGFB1_1,TUBA1A_2,30.55,15.48,2.04,4.91,1.92,
"31,31,25",TGFB1_1,TGFB1_1,TYMS_1,23.47,20.61,5.7,11.33,4.27,8.27
"31,31,26",TGFB1_1,TGFB1_1,TYMS_3,27.59,35.45,32.44,30.22,39.85,34.54
"31,31,27",TGFB1_1,TGFB1_1,FGF2_1,21.67,29.86,22.77,28.65,39.21,12.58
"31,31,28",TGFB1_1,TGFB1_1,FGF2_2,36.03,34.17,41.35,42.2,37.49,42.77
"31,31,29",TGFB1_1,TGFB1_1,PIK3C3_1,18.07,3.24,,6.58,3.1,11
"31,31,30",TGFB1_1,TGFB1_1,PIK3C3_2,40.55,51.45,51.05,30.48,57.78,58.31
"31,31,31",TGFB1_1,TGFB1_1,TGFB1_1,22.91,25.93,30.32,36.14,31.25,44.69
"31,31,32",TGFB1_1,TGFB1_1,TGFB1_2,13.39,8.42,2.76,8.12,16.8,10.92
"31,32,1",TGFB1_1,TGFB1_2,dummyguide_1,24.66,11.56,13.22,18.43,28.5,18.31
"31,32,2",TGFB1_1,TGFB1_2,dummyguide_2,27.37,11.18,21.94,35.13,18.62,47.23
"31,32,3",TGFB1_1,TGFB1_2,CDK4_3,21.51,18.23,16.09,25.73,10.17,25.08
"31,32,4",TGFB1_1,TGFB1_2,CDK4_2,14.63,14.19,18.13,53.14,16.21,20.69
"31,32,5",TGFB1_1,TGFB1_2,DNMT1_1,25.38,14.82,9.55,7.5,11.94,15.96
"31,32,6",TGFB1_1,TGFB1_2,DNMT1_2,21.54,29.39,37.8,29.47,28.64,32.65
"31,32,7",TGFB1_1,TGFB1_2,EGFR_1,18.96,22.81,19.18,6.68,26.38,15.73
"31,32,8",TGFB1_1,TGFB1_2,EGFR_2,13.82,12.47,13.9,6.84,8.55,7.96
"31,32,9",TGFB1_1,TGFB1_2,ERBB2_1,20.52,14.42,15.14,14.41,19.8,36
"31,32,10",TGFB1_1,TGFB1_2,ERBB2_2,14.95,13.93,32.78,22.98,20.49,23.31
"31,32,11",TGFB1_1,TGFB1_2,HDAC1_1,38.48,14.14,27.19,15.03,24.81,24.77
"31,32,12",TGFB1_1,TGFB1_2,HDAC1_2,8.9,14.61,12.35,1.93,10.71,17.77
"31,32,13",TGFB1_1,TGFB1_2,IKBKB_1,15.92,11.39,11.55,37.55,31.35,31.77
"31,32,14",TGFB1_1,TGFB1_2,IKBKB_2,21.54,23.92,28.24,45.25,30.27,52.96
"31,32,15",TGFB1_1,TGFB1_2,MAP2K1_1,22.51,18.75,28.66,33.43,26.97,32.19
"31,32,16",TGFB1_1,TGFB1_2,MAP2K1_2,4.06,10.32,8.16,29.14,9.38,13.04
"31,32,17",TGFB1_1,TGFB1_2,MTOR_1,17.07,22.32,11.1,1.08,9.78,9.5
"31,32,18",TGFB1_1,TGFB1_2,MTOR_2,9.41,6.65,1.17,2.49,,
"31,32,19",TGFB1_1,TGFB1_2,POLA1_1,23.23,7.4,2.11,2.39,4.42,
"31,32,20",TGFB1_1,TGFB1_2,POLA1_2,9.22,4.6,4,,,
"31,32,21",TGFB1_1,TGFB1_2,TOP1_1,23.61,4.9,,,1.23,
"31,32,22",TGFB1_1,TGFB1_2,TOP1_2,22.37,7.28,4.53,6.25,3.54,5.73
"31,32,23",TGFB1_1,TGFB1_2,TUBA1A_1,16.67,1.91,1.28,0.03,2.55,0.15
"31,32,24",TGFB1_1,TGFB1_2,TUBA1A_2,29.36,12.51,7.51,26.32,5.31,0.85
"31,32,25",TGFB1_1,TGFB1_2,TYMS_1,16.97,14.84,9.52,3.8,15.43,18.31
"31,32,26",TGFB1_1,TGFB1_2,TYMS_3,14.47,4.02,10.54,5.7,10.37,7.23
"31,32,27",TGFB1_1,TGFB1_2,FGF2_1,19.06,14.84,15.52,39.65,27.17,15.73
"31,32,28",TGFB1_1,TGFB1_2,FGF2_2,25.03,15.69,22.54,34.18,17.34,13.23
"31,32,29",TGFB1_1,TGFB1_2,PIK3C3_1,18.66,12.86,14.92,6.35,11.25,5.77
"31,32,30",TGFB1_1,TGFB1_2,PIK3C3_2,27.13,24.13,36.48,27.57,18.33,51.88
"31,32,31",TGFB1_1,TGFB1_2,TGFB1_1,13.55,4.27,10.01,4.06,3.19,5.73
"31,32,32",TGFB1_1,TGFB1_2,TGFB1_2,6.4,14.35,10.08,11.82,17.34,7.12
"32,1,1",TGFB1_2,dummyguide_1,dummyguide_1,24.44,21.24,37.91,39.94,29.82,39.04
"32,1,2",TGFB1_2,dummyguide_1,dummyguide_2,15.65,25.56,32.89,46.1,38.96,28.04
"32,1,3",TGFB1_2,dummyguide_1,CDK4_3,24.01,27.03,48.71,75.82,26.19,68.12
"32,1,4",TGFB1_2,dummyguide_1,CDK4_2,22.75,29.02,29.04,32.44,28.89,41.04
"32,1,5",TGFB1_2,dummyguide_1,DNMT1_1,38.21,38.19,53.92,53.59,41.91,63.19
"32,1,6",TGFB1_2,dummyguide_1,DNMT1_2,23.53,9.55,4,7.69,6.83,2.58
"32,1,7",TGFB1_2,dummyguide_1,EGFR_1,25.06,19.65,57.74,63.71,65.05,133.81
"32,1,8",TGFB1_2,dummyguide_1,EGFR_2,23.53,9.1,7.63,7.04,10.91,49.27
"32,1,9",TGFB1_2,dummyguide_1,ERBB2_1,26.57,16.2,18.8,33.3,16.9,11.31
"32,1,10",TGFB1_2,dummyguide_1,ERBB2_2,15.33,20.71,36.89,50.22,42.45,72.23
"32,1,11",TGFB1_2,dummyguide_1,HDAC1_1,30.09,32.31,33.83,65.18,34.44,26.92
"32,1,12",TGFB1_2,dummyguide_1,HDAC1_2,22.78,14.52,26.13,35.23,41.32,24.85
"32,1,13",TGFB1_2,dummyguide_1,IKBKB_1,21.38,28.76,45.99,35.16,20.34,61
"32,1,14",TGFB1_2,dummyguide_1,IKBKB_2,17.42,17.06,24.47,32.71,10.32,11.54
"32,1,15",TGFB1_2,dummyguide_1,MAP2K1_1,17.48,22.83,19.48,32.18,22.21,30.58
"32,1,16",TGFB1_2,dummyguide_1,MAP2K1_2,12.45,11.09,16.5,6.65,6.19,2.88
"32,1,17",TGFB1_2,dummyguide_1,MTOR_1,14.12,10.09,5.17,5.79,26.19,18.46
"32,1,18",TGFB1_2,dummyguide_1,MTOR_2,5.94,6.84,9.89,7.66,2.26,7.23
"32,1,19",TGFB1_2,dummyguide_1,POLA1_1,38.02,13.17,4.72,,3.1,
"32,1,20",TGFB1_2,dummyguide_1,POLA1_2,14.17,5.53,8.68,7.46,5.6,7.65
"32,1,21",TGFB1_2,dummyguide_1,TOP1_1,20.01,12.49,5.36,,2.51,
"32,1,22",TGFB1_2,dummyguide_1,TOP1_2,21.03,18.3,13.74,6.42,5.55,
"32,1,23",TGFB1_2,dummyguide_1,TUBA1A_1,30.68,34.1,33.76,52.32,38.82,51.38
"32,1,24",TGFB1_2,dummyguide_1,TUBA1A_2,35.79,5.56,8.46,8.68,8.55,1.92
"32,1,25",TGFB1_2,dummyguide_1,TYMS_1,21.27,24.46,14.99,28.09,34.29,44.5
"32,1,26",TGFB1_2,dummyguide_1,TYMS_3,29.44,35.39,52.71,35.13,52.82,36.58
"32,1,27",TGFB1_2,dummyguide_1,FGF2_1,40.74,27.68,33.19,29.01,39.6,50
"32,1,28",TGFB1_2,dummyguide_1,FGF2_2,21.75,21.8,7.82,20.72,20.14,49.54
"32,1,29",TGFB1_2,dummyguide_1,PIK3C3_1,18.28,5.67,14.61,12.74,9.19,1.35
"32,1,30",TGFB1_2,dummyguide_1,PIK3C3_2,24.85,39.64,21.49,23.93,29.33,20.54
"32,1,31",TGFB1_2,dummyguide_1,TGFB1_1,21.38,34.85,47.47,36.93,51.64,85.88
"32,1,32",TGFB1_2,dummyguide_1,TGFB1_2,7.77,4.2,1.85,0.13,10.81,11.54
"32,2,1",TGFB1_2,dummyguide_2,dummyguide_1,30.25,32.89,47.54,59.78,40.09,62.27
"32,2,2",TGFB1_2,dummyguide_2,dummyguide_2,39.23,14.24,33.72,24,24.71,35.81
"32,2,3",TGFB1_2,dummyguide_2,CDK4_3,36.03,40.73,39.95,44.53,35.23,50.58
"32,2,4",TGFB1_2,dummyguide_2,CDK4_2,28.58,21.06,35.08,73.21,23.24,45.46
"32,2,5",TGFB1_2,dummyguide_2,DNMT1_1,55.9,46.64,52.15,36.01,58.22,86.08
"32,2,6",TGFB1_2,dummyguide_2,DNMT1_2,32.51,54.95,53.51,76.32,51.15,57.85
"32,2,7",TGFB1_2,dummyguide_2,EGFR_1,30.41,20.8,17.45,47.7,28.06,25.38
"32,2,8",TGFB1_2,dummyguide_2,EGFR_2,39.72,43.18,67.89,127.78,69.77,71.69
"32,2,9",TGFB1_2,dummyguide_2,ERBB2_1,45.2,39.36,49.5,82.01,48.69,60.12
"32,2,10",TGFB1_2,dummyguide_2,ERBB2_2,25.2,43.84,67.67,101.33,48.35,56.5
"32,2,11",TGFB1_2,dummyguide_2,HDAC1_1,41.33,54.99,53.47,55.62,58.03,71.04
"32,2,12",TGFB1_2,dummyguide_2,HDAC1_2,28.72,26.79,32.06,23.8,28.6,30.58
"32,2,13",TGFB1_2,dummyguide_2,IKBKB_1,22.21,32.07,45.69,42.79,44.02,58.62
"32,2,14",TGFB1_2,dummyguide_2,IKBKB_2,20.95,43.37,27.19,43.35,49.92,34.88
"32,2,15",TGFB1_2,dummyguide_2,MAP2K1_1,32.11,19.63,28.77,50.88,29.77,24.54
"32,2,16",TGFB1_2,dummyguide_2,MAP2K1_2,18.82,18.75,26.39,43.35,22.75,39.73
"32,2,17",TGFB1_2,dummyguide_2,MTOR_1,5.83,5.84,4.19,30.25,24.52,8.65
"32,2,18",TGFB1_2,dummyguide_2,MTOR_2,16.78,12.4,,,8.25,
"32,2,19",TGFB1_2,dummyguide_2,POLA1_1,53.29,33.75,20.09,20.04,22.45,0.65
"32,2,20",TGFB1_2,dummyguide_2,POLA1_2,24.71,14.08,5.66,7.99,2.7,16.85
"32,2,21",TGFB1_2,dummyguide_2,TOP1_1,20.84,9.97,,1.64,3.24,0.04
"32,2,22",TGFB1_2,dummyguide_2,TOP1_2,32.46,21.9,30.77,7.01,19.41,14.23
"32,2,23",TGFB1_2,dummyguide_2,TUBA1A_1,22.8,38.7,32.59,27.11,45.55,51.42
"32,2,24",TGFB1_2,dummyguide_2,TUBA1A_2,25.87,11.34,3.59,5.6,2.51,7.35
"32,2,25",TGFB1_2,dummyguide_2,TYMS_1,40.44,35.36,37.76,36.54,46.48,55.23
"32,2,26",TGFB1_2,dummyguide_2,TYMS_3,39.31,44.35,40.48,48.42,74.58,47.65
"32,2,27",TGFB1_2,dummyguide_2,FGF2_1,25.52,27.01,59.17,59.36,44.66,79
"32,2,28",TGFB1_2,dummyguide_2,FGF2_2,45.71,47.29,74.84,97.01,50.66,76.96
"32,2,29",TGFB1_2,dummyguide_2,PIK3C3_1,16.4,18.7,4.87,23.21,20.29,13.15
"32,2,30",TGFB1_2,dummyguide_2,PIK3C3_2,33.67,51.23,57.7,34.57,33.9,33.58
"32,2,31",TGFB1_2,dummyguide_2,TGFB1_1,16.81,23.85,14.58,17.84,18.62,25.81
"32,2,32",TGFB1_2,dummyguide_2,TGFB1_2,20.09,15.43,18.77,9.53,7.32,15.54
"32,3,1",TGFB1_2,CDK4_3,dummyguide_1,31.22,39.98,69.25,81.06,53.9,47.96
"32,3,2",TGFB1_2,CDK4_3,dummyguide_2,26.14,16.25,18.69,29.43,22.6,43.42
"32,3,3",TGFB1_2,CDK4_3,CDK4_3,23.45,29.08,18.5,36.21,40.04,69.42
"32,3,4",TGFB1_2,CDK4_3,CDK4_2,27.94,39.31,24.32,13.42,35.03,69.19
"32,3,5",TGFB1_2,CDK4_3,DNMT1_1,32.75,26.14,25,12.93,37.05,41.96
"32,3,6",TGFB1_2,CDK4_3,DNMT1_2,11,8.89,15.86,12.28,15.82,11.35
"32,3,7",TGFB1_2,CDK4_3,EGFR_1,38.67,43.76,68.23,91.41,55.47,88.5
"32,3,8",TGFB1_2,CDK4_3,EGFR_2,32.51,30.04,29.87,53.59,16.9,11.73
"32,3,9",TGFB1_2,CDK4_3,ERBB2_1,20.17,18.95,36.48,17.48,33.66,50.69
"32,3,10",TGFB1_2,CDK4_3,ERBB2_2,34.1,50.98,56.94,76.48,37.88,54.62
"32,3,11",TGFB1_2,CDK4_3,HDAC1_1,34.55,37.79,37.12,57.72,33.46,38.96
"32,3,12",TGFB1_2,CDK4_3,HDAC1_2,19.12,14.19,15.93,17.74,10.47,14.96
"32,3,13",TGFB1_2,CDK4_3,IKBKB_1,16.62,21.78,10.31,18.14,10.86,12.12
"32,3,14",TGFB1_2,CDK4_3,IKBKB_2,20.84,26.84,27,48.32,32.92,74.42
"32,3,15",TGFB1_2,CDK4_3,MAP2K1_1,33.58,68.13,46.6,146.84,62.84,66.04
"32,3,16",TGFB1_2,CDK4_3,MAP2K1_2,11.24,10.71,7.02,4.62,5.5,3.15
"32,3,17",TGFB1_2,CDK4_3,MTOR_1,31.14,14.57,3.74,3.47,8.21,
"32,3,18",TGFB1_2,CDK4_3,MTOR_2,16.94,8.92,15.26,27.73,9.09,12.15
"32,3,19",TGFB1_2,CDK4_3,POLA1_1,28.26,24.6,4.76,,2.36,4.69
"32,3,20",TGFB1_2,CDK4_3,POLA1_2,20.52,8.59,2.76,0.03,1.28,
"32,3,21",TGFB1_2,CDK4_3,TOP1_1,24.79,7.86,,0.03,,
"32,3,22",TGFB1_2,CDK4_3,TOP1_2,32.11,11.69,18.46,10.15,12.19,7.65
"32,3,23",TGFB1_2,CDK4_3,TUBA1A_1,50.79,54.01,66.01,98.41,70.95,48.38
"32,3,24",TGFB1_2,CDK4_3,TUBA1A_2,21.46,19.3,7.78,4.91,8.6,0.77
"32,3,25",TGFB1_2,CDK4_3,TYMS_1,34.28,35.94,31.11,53.73,32.28,17.81
"32,3,26",TGFB1_2,CDK4_3,TYMS_3,34.61,27.1,26.81,21.74,32.48,26.19
"32,3,27",TGFB1_2,CDK4_3,FGF2_1,25.6,26.56,30.02,30.68,38.57,44.73
"32,3,28",TGFB1_2,CDK4_3,FGF2_2,23.29,20.63,24.81,40.92,14.35,11.69
"32,3,29",TGFB1_2,CDK4_3,PIK3C3_1,26.46,32.42,44.22,55.3,37.14,60.04
"32,3,30",TGFB1_2,CDK4_3,PIK3C3_2,29.93,33.42,52.56,55.69,47.12,68.31
"32,3,31",TGFB1_2,CDK4_3,TGFB1_1,15.46,22.2,35.46,32.74,42.5,61.96
"32,3,32",TGFB1_2,CDK4_3,TGFB1_2,13.15,10.41,19.03,23.44,27.12,47.77
"32,4,1",TGFB1_2,CDK4_2,dummyguide_1,14.01,9.81,8.8,28.32,3.73,12.38
"32,4,2",TGFB1_2,CDK4_2,dummyguide_2,9.36,11.65,11.74,11.49,30.17,18.38
"32,4,3",TGFB1_2,CDK4_2,CDK4_3,6.91,11.58,11.59,2.68,12.77,22.38
"32,4,4",TGFB1_2,CDK4_2,CDK4_2,8.39,15.48,43.54,23.21,24.96,34.54
"32,4,5",TGFB1_2,CDK4_2,DNMT1_1,7.23,9.06,2.15,12.24,18.62,5.12
"32,4,6",TGFB1_2,CDK4_2,DNMT1_2,9.25,10.86,18.46,4.71,11.89,16.23
"32,4,7",TGFB1_2,CDK4_2,EGFR_1,3.01,3.27,3.13,7.2,1.13,0.08
"32,4,8",TGFB1_2,CDK4_2,EGFR_2,10.92,14.66,17.37,18.89,17.98,37.35
"32,4,9",TGFB1_2,CDK4_2,ERBB2_1,6.7,8.92,9.02,7.73,12.23,21.19
"32,4,10",TGFB1_2,CDK4_2,ERBB2_2,14.22,18.06,35.53,27.89,40.53,48.92
"32,4,11",TGFB1_2,CDK4_2,HDAC1_1,15.11,14.1,27.26,10.8,8.45,2.73
"32,4,12",TGFB1_2,CDK4_2,HDAC1_2,3.47,6.12,2,,2.06,1.92
"32,4,13",TGFB1_2,CDK4_2,IKBKB_1,5.35,7.96,6.31,2.42,14.1,16.96
"32,4,14",TGFB1_2,CDK4_2,IKBKB_2,8.95,7.49,15.52,15.26,16.66,17.73
"32,4,15",TGFB1_2,CDK4_2,MAP2K1_1,11.67,25.98,20.92,61.58,24.42,69.81
"32,4,16",TGFB1_2,CDK4_2,MAP2K1_2,16.56,23.51,39.46,31.1,37.44,17.15
"32,4,17",TGFB1_2,CDK4_2,MTOR_1,3.44,0.02,3.02,7.96,,12.46
"32,4,18",TGFB1_2,CDK4_2,MTOR_2,4.71,11.02,3.59,7.17,6.49,3.38
"32,4,19",TGFB1_2,CDK4_2,POLA1_1,13.87,4.37,0.94,,1.23,5.27
"32,4,20",TGFB1_2,CDK4_2,POLA1_2,2.37,4.11,,,,
"32,4,21",TGFB1_2,CDK4_2,TOP1_1,10.46,8.36,2,,,
"32,4,22",TGFB1_2,CDK4_2,TOP1_2,4.97,0.02,,,,4.08
"32,4,23",TGFB1_2,CDK4_2,TUBA1A_1,1.96,15.87,26.55,12.31,14.79,21.81
"32,4,24",TGFB1_2,CDK4_2,TUBA1A_2,2.45,1.77,,,1.38,
"32,4,25",TGFB1_2,CDK4_2,TYMS_1,9.87,24.14,14.5,26.72,32.33,54.46
"32,4,26",TGFB1_2,CDK4_2,TYMS_3,6.91,9.05,12.73,17.35,13.12,2.12
"32,4,27",TGFB1_2,CDK4_2,FGF2_1,1.4,0.96,1.55,3.9,2.85,2.38
"32,4,28",TGFB1_2,CDK4_2,FGF2_2,7.07,17.08,21.64,9.99,15.58,7.54
"32,4,29",TGFB1_2,CDK4_2,PIK3C3_1,2.64,3.2,7.7,2.39,2.21,
"32,4,30",TGFB1_2,CDK4_2,PIK3C3_2,3.44,3.25,9.86,0.03,2.06,
"32,4,31",TGFB1_2,CDK4_2,TGFB1_1,2.77,6.72,3.47,,5.65,1.77
"32,4,32",TGFB1_2,CDK4_2,TGFB1_2,4.09,1.52,1.55,0.07,,0.04
"32,5,1",TGFB1_2,DNMT1_1,dummyguide_1,31.14,52.73,33.57,77.49,64.61,44.96
"32,5,2",TGFB1_2,DNMT1_1,dummyguide_2,34.12,59.05,63.17,54.12,55.18,66.88
"32,5,3",TGFB1_2,DNMT1_1,CDK4_3,28.58,25.32,37.42,87.64,45.99,90.54
"32,5,4",TGFB1_2,DNMT1_1,CDK4_2,34.63,33.78,57.02,72.03,55.96,75.38
"32,5,5",TGFB1_2,DNMT1_1,DNMT1_1,53.78,39.49,49.84,55.56,37.19,49.35
"32,5,6",TGFB1_2,DNMT1_1,DNMT1_2,29.07,38.79,26.92,19.97,21.47,17.58
"32,5,7",TGFB1_2,DNMT1_1,EGFR_1,40.68,33.28,38.14,80.05,61.51,58.31
"32,5,8",TGFB1_2,DNMT1_1,EGFR_2,36.09,53.03,60.83,97.89,47.76,37.92
"32,5,9",TGFB1_2,DNMT1_1,ERBB2_1,48.48,46.87,58.64,62.14,36.9,59.27
"32,5,10",TGFB1_2,DNMT1_1,ERBB2_2,33.45,25,24.2,48.09,46.77,41.31
"32,5,11",TGFB1_2,DNMT1_1,HDAC1_1,33.58,40.13,58.26,66.79,48.89,86.88
"32,5,12",TGFB1_2,DNMT1_1,HDAC1_2,29.93,22.34,25.94,26.52,22.36,19.19
"32,5,13",TGFB1_2,DNMT1_1,IKBKB_1,35.06,54.97,34.82,62.89,36.8,41.31
"32,5,14",TGFB1_2,DNMT1_1,IKBKB_2,21.97,16.95,9.7,23.34,16.31,8.69
"32,5,15",TGFB1_2,DNMT1_1,MAP2K1_1,34.42,51.31,55.77,81.23,52.57,45.5
"32,5,16",TGFB1_2,DNMT1_1,MAP2K1_2,17.4,29.39,34.25,55.36,35.47,66.96
"32,5,17",TGFB1_2,DNMT1_1,MTOR_1,29.74,32.07,14.39,24.49,14.69,10.73
"32,5,18",TGFB1_2,DNMT1_1,MTOR_2,24.44,41.59,24.05,22.98,18.82,8.42
